timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m
16,-98.06,16,0,0,1,12.489,0.0,46.3
44,-97.28,28,0,0,1,16.227,0.1071,96.1
77,-97.91,33,0,0,1,12.187,0.1212,97.1
99,-97.84,22,0,0,1,10.336,0.0,53.9
122,-96.12,23,0,0,1,29.603,0.3478,163.8
137,-97.46,15,0,0,1,16.222,0.0,57.1
161,-99.1,24,0,0,1,6.768,0.0,30.6
173,-97.54,12,0,0,1,18.202,0.0,53.9
214,-97.64,41,0,0,1,6.907,0.0,68.6
235,-99.78,21,0,0,1,16.055,0.2857,73.2
274,-99.76,39,0,0,1,5.981,0.0769,55.6
289,-98.77,15,0,0,1,12.144,0.0667,41.5
321,-96.37,32,0,0,1,24.857,0.3438,192.9
344,-99.07,23,0,0,1,6.774,0.0,30.6
363,-99.3,19,0,0,1,7.897,0.0,23.7
401,-97.76,38,0,0,1,13.169,0.1579,121.9
416,-98.73,15,0,0,1,10.62,0.0,32.7
433,-96.86,17,0,0,1,24.344,0.1765,98.5
472,-101.36,39,0,0,1,5.485,0.1538,53.9
484,-99.19,12,0,0,1,14.618,0.1667,41.5
524,-102.11,40,0,0,1,7.124,0.225,68.6
542,-98.53,18,0,0,1,14.484,0.0556,47.3
567,-100.09,25,0,0,1,6.292,0.08,31.5
583,-101.35,16,0,0,1,10.486,0.3125,30.6
605,-97.16,22,0,0,1,11.721,0.0,67.1
631,-98.6,26,0,0,1,7.073,0.0,41.6
673,-100.49,42,0,0,1,9.987,0.1667,80.7
685,-97.28,12,0,0,1,22.655,0.0,58.5
704,-99.8,19,0,0,1,9.321,0.1053,33.3
753,-99.3,49,0,0,1,3.561,0.0,41.5
766,-99.21,13,0,0,1,11.757,0.0,22.0
799,-98.18,33,0,0,1,6.527,0.0,53.9
812,-99.24,13,0,0,1,11.096,0.0,21.5
840,-98.34,28,0,0,1,9.425,0.0714,67.1
894,-100.72,54,0,0,1,9.963,0.2037,121.9
948,-96.31,54,0,0,1,24.124,0.4074,311.8
959,-99.58,11,0,0,1,12.645,0.0,13.5
989,-97.03,30,0,0,1,11.651,0.0333,83.5
1000,-97.52,11,0,0,1,19.439,0.0,53.9
1022,-98.35,22,0,0,1,9.801,0.0455,53.9
1039,-98.73,17,0,0,1,9.638,0.0,33.8
1083,-100.31,44,0,0,1,6.407,0.1136,67.1
1097,-99.6,14,0,0,1,15.932,0.2857,53.9
1157,-94.39,60,0,0,1,17.164,0.1667,236.7
1170,-98.73,13,0,0,1,12.968,0.0,31.4
