timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m
180,-100.75,30,0,0,1,4.677,0.0667,21.5
198,-99.67,33,0,0,1,4.591,0.0,24.8
204,-103.36,34,0,0,1,4.701,0.2353,31.5
300,-99.68,50,0,0,1,3.294,0.0,34.7
378,-106.83,63,0,0,1,5.951,0.3016,87.1
384,-98.52,34,0,0,1,7.765,0.0588,67.1
486,-97.94,48,0,0,1,5.216,0.0,67.1
540,-98.92,27,0,0,1,7.498,0.037,45.6
564,-107.35,44,0,0,1,14.343,0.6136,142.4
642,-96.73,73,0,0,1,7.1,0.0274,123.5
702,-99.77,53,0,0,1,4.124,0.0377,53.9
768,-104.37,47,0,0,1,6.299,0.2766,67.6
774,-98.68,39,0,0,1,5.307,0.0,47.5
834,-97.53,45,0,0,1,6.678,0.0,73.1
846,-101.07,141,0,0,1,3.226,0.0355,108.1
930,-98.6,26,0,0,1,7.157,0.0,41.6
1020,-101.05,53,0,0,1,4.593,0.0943,58.2
1026,-97.48,64,0,0,1,6.106,0.0156,94.4
1044,-101.21,35,0,0,1,4.145,0.0571,14.7
1134,-99.8,48,0,0,1,3.192,0.0,31.1
1146,-102.23,63,0,0,1,7.097,0.1905,108.1
1182,-96.99,23,0,0,1,18.222,0.1304,99.4
1218,-101.77,33,0,0,1,4.954,0.1212,22.6
1242,-98.86,16,0,0,1,9.609,0.0,30.6
1284,-99.62,43,0,0,1,3.984,0.0233,41.5
1320,-98.76,31,0,0,1,5.536,0.0,41.5
1410,-104.88,80,0,0,1,14.065,0.4,257.8
1428,-98.76,35,0,0,1,5.525,0.0,43.6
1428,-99.28,31,0,0,1,4.95,0.0,31.2
1518,-100.27,18,0,0,1,8.293,0.1111,23.7
1536,-99.86,18,0,0,1,19.315,0.3333,69.8
1548,-100.61,61,0,0,1,5.487,0.0984,80.7
1566,-99.55,23,0,0,1,6.829,0.0435,31.0
1596,-98.5,46,0,0,1,5.685,0.0,54.7
1674,-97.5,65,0,0,1,6.263,0.0154,94.4
1710,-103.05,24,0,0,1,7.49,0.375,41.5
1758,-98.13,37,0,0,1,9.746,0.0811,85.7
1764,-99.06,41,0,0,1,4.335,0.0,41.5
1914,-103.35,34,0,0,1,5.089,0.2647,41.5
1980,-98.76,37,0,0,1,5.234,0.0,44.8
1992,-98.57,13,0,0,1,16.874,0.1538,53.9
1992,-100.21,66,0,0,1,2.448,0.0,33.6
2022,-100.55,58,0,0,1,2.677,0.0172,32.1
2118,-99.22,16,0,0,1,9.385,0.0,23.4
2124,-98.3,22,0,0,1,8.872,0.0,45.0
2148,-98.54,100,0,0,1,3.514,0.0,85.4
2166,-96.53,29,0,0,1,12.048,0.0,82.8
2190,-96.15,71,0,0,1,6.756,0.0,114.3
2226,-99.06,41,0,0,1,4.19,0.0,41.5
2298,-103.06,29,0,0,1,7.328,0.3448,53.9
2322,-100.29,29,0,0,1,8.438,0.1724,58.9
2370,-99.52,30,0,0,1,5.383,0.0,25.8
2418,-99.81,32,0,0,1,4.386,0.0,21.5
2436,-95.5,23,0,0,1,23.448,0.1304,127.7
2448,-100.03,47,0,0,1,3.315,0.0,25.9
2520,-99.14,12,0,0,1,14.841,0.0833,32.4
2532,-102.29,35,0,0,1,4.297,0.1429,23.6
