timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m
48,-195.93,48,0,0,1,9.913,0.0,108.1
76,-198.62,28,0,0,1,6.847,0.0,43.5
105,-199.18,29,0,0,1,5.485,0.0,33.1
134,-197.45,29,0,0,1,9.084,0.0,67.1
187,-199.77,53,0,0,1,3.16,0.0,35.7
227,-198.81,40,0,0,1,5.097,0.0,46.9
250,-199.12,23,0,0,1,6.677,0.0,30.6
295,-198.49,45,0,0,1,5.279,0.0,56.2
353,-198.63,58,0,0,1,5.707,0.0345,80.7
443,-192.03,90,0,0,1,9.577,0.0,209.6
529,-198.32,86,0,0,1,4.78,0.0,83.4
598,-197.49,69,0,0,1,6.697,0.029,109.6
640,-199.64,42,0,0,1,3.718,0.0,31.8
685,-199.75,45,0,0,1,3.542,0.0,31.3
728,-199.61,43,0,0,1,3.771,0.0,32.9
760,-196.72,32,0,0,1,10.784,0.0,83.2
876,-196.26,116,0,0,1,5.151,0.0,141.7
969,-194.45,93,0,0,1,7.218,0.0,163.8
994,-198.38,25,0,0,1,8.079,0.0,46.5
1059,-197.77,65,0,0,1,5.447,0.0,82.0
1103,-200.05,44,0,0,1,3.369,0.0,24.7
1140,-194.79,37,0,0,1,14.01,0.0,124.2
1186,-199.62,46,0,0,1,3.582,0.0,34.5
1212,-198.67,26,0,0,1,6.808,0.0,41.5
1259,-198.0,47,0,0,1,5.394,0.0,67.1
1316,-198.22,57,0,0,1,5.726,0.0,68.4
1338,-198.55,22,0,0,1,7.748,0.0,41.5
1373,-198.94,35,0,0,1,4.938,0.0,41.5
1525,-193.74,152,0,0,1,5.938,0.0066,222.3
1574,-199.36,49,0,0,1,3.51,0.0,41.5
1669,-198.4,95,0,0,1,3.822,0.0,87.4
1696,-198.0,27,0,0,1,8.618,0.0,55.1
1743,-199.28,47,0,0,1,3.863,0.0,41.7
1778,-198.3,35,0,0,1,6.667,0.0,53.9
1864,-195.52,86,0,0,1,6.846,0.0,138.6
