timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m
48,-494.59,48,0,0,1,9.913,0.0,108.1
76,-497.83,28,0,0,1,6.847,0.0,43.5
105,-498.35,29,0,0,1,5.485,0.0,33.1
134,-496.64,29,0,0,1,9.084,0.0,67.1
187,-498.22,53,0,0,1,3.16,0.0,35.7
227,-497.66,40,0,0,1,5.097,0.0,46.9
250,-498.47,23,0,0,1,6.677,0.0,30.6
295,-497.19,45,0,0,1,5.279,0.0,56.2
353,-495.96,58,0,0,1,5.707,0.0345,80.7
443,-489.52,90,0,0,1,9.577,0.0,209.6
529,-495.83,86,0,0,1,4.78,0.0,83.4
598,-494.52,69,0,0,1,6.697,0.029,109.6
640,-498.41,42,0,0,1,3.718,0.0,31.8
685,-498.44,45,0,0,1,3.542,0.0,31.3
728,-498.36,43,0,0,1,3.771,0.0,32.9
760,-495.84,32,0,0,1,10.784,0.0,83.2
876,-492.91,116,0,0,1,5.151,0.0,141.7
969,-491.81,93,0,0,1,7.218,0.0,163.8
994,-497.68,25,0,0,1,8.079,0.0,46.5
1059,-495.9,65,0,0,1,5.447,0.0,82.0
1103,-498.77,44,0,0,1,3.369,0.0,24.7
1140,-493.79,37,0,0,1,14.01,0.0,124.2
1186,-498.28,46,0,0,1,3.582,0.0,34.5
1212,-497.93,26,0,0,1,6.808,0.0,41.5
1259,-496.64,47,0,0,1,5.394,0.0,67.1
1316,-496.58,57,0,0,1,5.726,0.0,68.4
1338,-497.93,22,0,0,1,7.748,0.0,41.5
1373,-497.93,35,0,0,1,4.938,0.0,41.5
1525,-488.88,152,0,0,1,5.938,0.0066,222.3
1574,-497.93,49,0,0,1,3.51,0.0,41.5
1669,-495.63,95,0,0,1,3.822,0.0,87.4
1696,-497.24,27,0,0,1,8.618,0.0,55.1
1743,-497.91,47,0,0,1,3.863,0.0,41.7
1778,-497.31,35,0,0,1,6.667,0.0,53.9
1864,-493.07,86,0,0,1,6.846,0.0,138.6
1976,-494.57,112,0,0,1,4.098,0.0,108.6
2023,-497.31,47,0,0,1,4.499,0.0,53.9
2100,-495.96,77,0,0,1,4.26,0.0,80.7
2144,-494.59,44,0,0,1,9.953,0.0,108.1
2180,-498.46,36,0,0,1,4.294,0.0,30.8
2215,-498.25,35,0,0,1,4.907,0.0,35.1
2243,-497.93,28,0,0,1,6.133,0.0,41.5
2265,-497.72,22,0,0,1,9.034,0.0,45.7
2278,-498.47,13,0,0,1,12.32,0.0,30.6
