timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m
48,-95.77,48,0,0,1,9.913,0.0,108.1
76,-98.56,28,0,0,1,6.847,0.0,43.5
105,-99.13,29,0,0,1,5.485,0.0,33.1
134,-97.37,29,0,0,1,9.084,0.0,67.1
187,-99.71,53,0,0,1,3.16,0.0,35.7
227,-98.74,40,0,0,1,5.097,0.0,46.9
250,-99.07,23,0,0,1,6.677,0.0,30.6
295,-98.41,45,0,0,1,5.279,0.0,56.2
353,-98.52,58,0,0,1,5.707,0.0345,80.7
443,-91.74,90,0,0,1,9.577,0.0,209.6
529,-98.18,86,0,0,1,4.78,0.0,83.4
598,-97.33,69,0,0,1,6.697,0.029,109.6
640,-99.58,42,0,0,1,3.718,0.0,31.8
685,-99.7,45,0,0,1,3.542,0.0,31.3
728,-99.56,43,0,0,1,3.771,0.0,32.9
760,-96.61,32,0,0,1,10.784,0.0,83.2
876,-96.06,116,0,0,1,5.151,0.0,141.7
969,-94.23,93,0,0,1,7.218,0.0,163.8
994,-98.31,25,0,0,1,8.079,0.0,46.5
1059,-97.65,65,0,0,1,5.447,0.0,82.0
1103,-100.0,44,0,0,1,3.369,0.0,24.7
1140,-94.61,37,0,0,1,14.01,0.0,124.2
1186,-99.57,46,0,0,1,3.582,0.0,34.5
1212,-98.61,26,0,0,1,6.808,0.0,41.5
1259,-97.91,47,0,0,1,5.394,0.0,67.1
1316,-98.11,57,0,0,1,5.726,0.0,68.4
1338,-98.49,22,0,0,1,7.748,0.0,41.5
1373,-98.88,35,0,0,1,4.938,0.0,41.5
1525,-93.44,152,0,0,1,5.938,0.0066,222.3
1574,-99.3,49,0,0,1,3.51,0.0,41.5
1669,-98.28,95,0,0,1,3.822,0.0,87.4
1696,-97.92,27,0,0,1,8.618,0.0,55.1
1743,-99.22,47,0,0,1,3.863,0.0,41.7
1778,-98.23,35,0,0,1,6.667,0.0,53.9
1864,-95.32,86,0,0,1,6.846,0.0,138.6
1976,-97.68,112,0,0,1,4.098,0.0,108.6
2023,-98.6,47,0,0,1,4.499,0.0,53.9
2100,-98.09,77,0,0,1,4.26,0.0,80.7
2144,-95.67,44,0,0,1,9.953,0.0,108.1
2180,-99.45,36,0,0,1,4.294,0.0,30.8
2215,-99.2,35,0,0,1,4.907,0.0,35.1
2243,-98.67,28,0,0,1,6.133,0.0,41.5
2265,-98.27,22,0,0,1,9.034,0.0,45.7
2278,-98.77,13,0,0,1,12.32,0.0,30.6
2305,-99.56,27,0,0,1,5.511,0.0,23.3
2398,-97.61,93,0,0,1,4.403,0.0,99.0
2435,-98.3,37,0,0,1,5.492,0.0,53.9
2484,-96.23,49,0,0,1,8.746,0.0,100.0
2501,-99.2,17,0,0,1,9.165,0.0,24.5
2514,-99.08,13,0,0,1,11.802,0.0,24.4
2576,-99.05,62,0,0,1,3.311,0.0,53.9
2601,-99.13,25,0,0,1,6.326,0.0,30.6
2649,-97.66,48,0,0,1,6.235,0.0,72.3
2722,-97.64,73,0,0,1,4.951,0.0,87.1
2785,-99.05,63,0,0,1,3.583,0.0,54.3
2816,-98.11,31,0,0,1,7.246,0.0,53.9
2980,-92.64,164,0,0,1,8.736,0.061,329.6
3011,-97.43,31,0,0,1,8.565,0.0,67.1
3030,-98.15,19,0,0,1,10.404,0.0,46.2
3045,-98.83,15,0,0,1,10.799,0.0,30.6
3073,-99.19,28,0,0,1,5.498,0.0,31.2
3102,-97.35,29,0,0,1,9.62,0.0,67.3
3121,-98.88,19,0,0,1,8.509,0.0,32.0
3182,-94.56,61,0,0,1,9.513,0.0,139.0
3294,-95.54,112,0,0,1,5.429,0.0,149.7
3362,-98.38,68,0,0,1,4.279,0.0,70.0
3450,-98.16,88,0,0,1,4.194,0.0,85.5
3466,-98.86,16,0,0,1,10.11,0.0,30.6
3492,-97.87,26,0,0,1,8.918,0.0,55.6
3557,-88.8,65,0,0,1,16.541,0.0,251.0
3584,-98.37,27,0,0,1,7.43,0.0,46.5
3645,-99.57,61,0,0,1,3.035,0.0,43.1
3683,-97.64,38,0,0,1,6.869,0.0,67.1
3751,-94.22,68,0,0,1,8.909,0.0,149.7
3767,-98.79,16,0,0,1,9.911,0.0,32.1
3829,-99.64,62,0,0,1,2.974,0.0,42.4
3859,-99.12,30,0,0,1,5.44,0.0,33.7
3880,-98.31,21,0,0,1,9.213,0.0,44.3
3952,-98.47,72,0,0,1,4.167,0.0,70.5
