timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m
17,-98.34,17,0,0,1,10.471,0.0,41.5
51,-98.85,34,0,0,1,5.084,0.0,41.5
122,-98.35,71,0,0,1,4.269,0.0,72.3
161,-98.35,39,0,0,1,5.627,0.0,53.9
237,-98.78,76,0,0,1,3.392,0.0,67.1
261,-99.01,24,0,0,1,6.79,0.0,32.3
294,-94.88,33,0,0,1,17.347,0.0606,135.8
329,-98.24,35,0,0,1,6.105,0.0,53.9
355,-98.39,26,0,0,1,7.491,0.0,45.6
369,-97.98,14,0,0,1,14.462,0.0,46.6
446,-98.65,77,0,0,1,3.736,0.0,70.0
590,-96.48,144,0,0,1,4.416,0.0,149.7
634,-99.05,44,0,0,1,4.27,0.0,43.4
670,-98.9,36,0,0,1,5.053,0.0,41.5
688,-99.16,18,0,0,1,8.885,0.0,25.9
706,-98.91,18,0,0,1,8.613,0.0,30.8
764,-98.93,58,0,0,1,3.74,0.0,53.9
821,-99.87,57,0,0,1,2.922,0.0,34.9
843,-98.38,22,0,0,1,8.686,0.0,43.4
863,-97.66,20,0,0,1,11.729,0.0,56.2
925,-96.64,62,0,0,1,6.787,0.0,99.7
1003,-99.33,78,0,0,1,3.054,0.0,57.6
1044,-94.9,41,0,0,1,15.296,0.0732,149.7
1100,-98.17,56,0,0,1,4.953,0.0,67.1
1130,-96.33,30,0,0,1,12.777,0.0,87.2
1164,-98.21,34,0,0,1,6.041,0.0,53.9
1194,-96.69,30,0,0,1,10.602,0.0,80.7
1291,-96.13,97,0,0,1,6.104,0.0103,138.9
1327,-99.42,36,0,0,1,4.423,0.0,31.5
1340,-99.53,13,0,0,1,12.044,0.0,15.5
1520,-91.5,180,0,0,1,6.223,0.0,265.6
1537,-99.23,17,0,0,1,8.657,0.0,23.9
1608,-96.16,71,0,0,1,6.905,0.0,114.0
1735,-94.12,127,0,0,1,6.18,0.0,185.0
1750,-99.23,15,0,0,1,11.03,0.0,22.6
1788,-96.87,38,0,0,1,12.49,0.0789,110.2
1859,-99.31,71,0,0,1,3.084,0.0,53.9
