timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m
48,-496.03,48,0,0,1,9.913,0.0,108.1
76,-498.67,28,0,0,1,6.847,0.0,43.5
105,-499.22,29,0,0,1,5.485,0.0,33.1
134,-497.51,29,0,0,1,9.084,0.0,67.1
187,-499.81,53,0,0,1,3.16,0.0,35.7
227,-498.86,40,0,0,1,5.097,0.0,46.9
250,-499.16,23,0,0,1,6.677,0.0,30.6
295,-498.54,45,0,0,1,5.279,0.0,56.2
353,-498.7,58,0,0,1,5.707,0.0345,80.7
443,-492.22,90,0,0,1,9.577,0.0,209.6
529,-498.41,86,0,0,1,4.78,0.0,83.4
598,-497.59,69,0,0,1,6.697,0.029,109.6
640,-499.67,42,0,0,1,3.718,0.0,31.8
685,-499.79,45,0,0,1,3.542,0.0,31.3
728,-499.65,43,0,0,1,3.771,0.0,32.9
760,-496.8,32,0,0,1,10.784,0.0,83.2
876,-496.39,116,0,0,1,5.151,0.0,141.7
969,-494.6,93,0,0,1,7.218,0.0,163.8
994,-498.43,25,0,0,1,8.079,0.0,46.5
1059,-497.85,65,0,0,1,5.447,0.0,82.0
1103,-500.09,44,0,0,1,3.369,0.0,24.7
1140,-494.9,37,0,0,1,14.01,0.0,124.2
1186,-499.66,46,0,0,1,3.582,0.0,34.5
1212,-498.71,26,0,0,1,6.808,0.0,41.5
1259,-498.05,47,0,0,1,5.394,0.0,67.1
1316,-498.29,57,0,0,1,5.726,0.0,68.4
1338,-498.59,22,0,0,1,7.748,0.0,41.5
1373,-498.98,35,0,0,1,4.938,0.0,41.5
1525,-493.94,152,0,0,1,5.938,0.0066,222.3
1574,-499.4,49,0,0,1,3.51,0.0,41.5
1669,-498.48,95,0,0,1,3.822,0.0,87.4
1696,-498.05,27,0,0,1,8.618,0.0,55.1
1743,-499.32,47,0,0,1,3.863,0.0,41.7
1778,-498.36,35,0,0,1,6.667,0.0,53.9
1864,-495.65,86,0,0,1,6.846,0.0,138.6
1976,-497.93,112,0,0,1,4.098,0.0,108.6
2023,-498.72,47,0,0,1,4.499,0.0,53.9
2100,-498.27,77,0,0,1,4.26,0.0,80.7
2144,-495.91,44,0,0,1,9.953,0.0,108.1
2180,-499.54,36,0,0,1,4.294,0.0,30.8
2215,-499.3,35,0,0,1,4.907,0.0,35.1
2243,-498.77,28,0,0,1,6.133,0.0,41.5
2265,-498.38,22,0,0,1,9.034,0.0,45.7
2278,-498.86,13,0,0,1,12.32,0.0,30.6
2305,-499.64,27,0,0,1,5.511,0.0,23.3
2398,-497.84,93,0,0,1,4.403,0.0,99.0
2435,-498.42,37,0,0,1,5.492,0.0,53.9
2484,-496.47,49,0,0,1,8.746,0.0,100.0
2501,-499.28,17,0,0,1,9.165,0.0,24.5
2514,-499.17,13,0,0,1,11.802,0.0,24.4
2576,-499.17,62,0,0,1,3.311,0.0,53.9
2601,-499.22,25,0,0,1,6.326,0.0,30.6
2649,-497.83,48,0,0,1,6.235,0.0,72.3
2722,-497.84,73,0,0,1,4.951,0.0,87.1
2785,-499.17,63,0,0,1,3.583,0.0,54.3
2816,-498.24,31,0,0,1,7.246,0.0,53.9
2980,-493.44,164,0,0,1,8.736,0.061,329.6
3011,-497.57,31,0,0,1,8.565,0.0,67.1
3030,-498.26,19,0,0,1,10.404,0.0,46.2
3045,-498.92,15,0,0,1,10.799,0.0,30.6
3073,-499.28,28,0,0,1,5.498,0.0,31.2
3102,-497.5,29,0,0,1,9.62,0.0,67.3
3121,-498.97,19,0,0,1,8.509,0.0,32.0
3182,-494.88,61,0,0,1,9.513,0.0,139.0
3294,-495.87,112,0,0,1,5.429,0.0,149.7
3362,-498.54,68,0,0,1,4.279,0.0,70.0
3450,-498.37,88,0,0,1,4.194,0.0,85.5
3466,-498.95,16,0,0,1,10.11,0.0,30.6
3492,-498.0,26,0,0,1,8.918,0.0,55.6
3557,-489.4,65,0,0,1,16.541,0.0,251.0
3584,-498.48,27,0,0,1,7.43,0.0,46.5
3645,-499.68,61,0,0,1,3.035,0.0,43.1
3683,-497.78,38,0,0,1,6.869,0.0,67.1
3751,-494.55,68,0,0,1,8.909,0.0,149.7
3767,-498.88,16,0,0,1,9.911,0.0,32.1
3829,-499.74,62,0,0,1,2.974,0.0,42.4
3859,-499.21,30,0,0,1,5.44,0.0,33.7
3880,-498.42,21,0,0,1,9.213,0.0,44.3
3952,-498.63,72,0,0,1,4.167,0.0,70.5
3981,-499.07,29,0,0,1,6.034,0.0,36.0
4006,-497.8,25,0,0,1,9.837,0.0,59.0
4028,-497.25,22,0,0,1,12.897,0.0,68.3
4091,-496.88,63,0,0,1,6.727,0.0,100.2
4118,-498.49,27,0,0,1,15.014,0.1852,96.3
4135,-497.73,17,0,0,1,13.643,0.0,55.6
4200,-500.34,65,0,0,1,2.391,0.0,32.2
4244,-499.12,44,0,0,1,4.294,0.0,44.0
4336,-497.03,92,0,0,1,5.309,0.0,114.7
4436,-499.46,100,0,0,1,2.912,0.0,70.7
4466,-498.68,30,0,0,1,6.353,0.0,44.5
4482,-498.41,16,0,0,1,10.627,0.0,41.5
4500,-498.39,18,0,0,1,10.392,0.0,43.1
4541,-497.85,41,0,0,1,6.863,0.0,67.7
4589,-499.22,48,0,0,1,3.972,0.0,44.5
4603,-498.74,14,0,0,1,12.098,0.0,33.6
4646,-499.11,43,0,0,1,4.36,0.0,43.5
4674,-499.28,28,0,0,1,5.531,0.0,31.3
4699,-499.22,25,0,0,1,5.968,0.0,30.6
4748,-498.11,49,0,0,1,5.33,0.0,67.1
4868,-488.08,120,0,0,1,10.729,0.0,310.3
4900,-498.65,32,0,0,1,6.16,0.0,46.3
4924,-498.65,24,0,0,1,7.741,0.0,41.5
4937,-498.61,13,0,0,1,13.389,0.0,35.6
5021,-496.42,84,0,0,1,5.722,0.0,121.9
5071,-498.14,50,0,0,1,5.287,0.0,67.1
5106,-497.64,35,0,0,1,8.054,0.0,68.3
5133,-497.83,27,0,0,1,9.172,0.0,59.5
5167,-498.22,34,0,0,1,6.825,0.0,56.0
5195,-498.77,28,0,0,1,6.304,0.0,41.5
5215,-497.87,20,0,0,1,11.507,0.0,54.6
5234,-498.98,19,0,0,1,8.641,0.0,31.9
5258,-498.96,24,0,0,1,6.891,0.0,35.1
5338,-497.51,80,0,0,1,5.185,0.0,97.7
5432,-493.18,94,0,0,1,8.541,0.0,192.9
5450,-498.28,18,0,0,1,10.724,0.0,45.1
5565,-495.96,115,0,0,1,5.264,0.0,149.7
5591,-499.71,26,0,0,1,5.549,0.0,21.5
5605,-499.16,14,0,0,1,10.565,0.0,25.1
5629,-499.49,24,0,0,1,6.287,0.0,24.6
5687,-494.25,58,0,0,1,10.971,0.0,149.7
5758,-499.79,71,0,0,1,2.844,0.0,46.8
5812,-500.37,54,0,0,1,2.767,0.0,24.9
5838,-497.33,26,0,0,1,11.027,0.0,69.0
5880,-500.13,42,0,0,1,3.771,0.0,22.7
5892,-499.29,12,0,0,1,12.298,0.0,21.5
5976,-496.17,84,0,0,1,6.356,0.0,127.1
5992,-498.94,16,0,0,1,9.877,0.0,30.7
6056,-498.56,64,0,0,1,4.143,0.0,67.1
6082,-499.92,26,0,0,1,5.833,0.0,16.9
6116,-499.35,34,0,0,1,5.017,0.0,33.5
6194,-496.93,78,0,0,1,5.705,0.0,108.1
6240,-499.6,46,0,0,1,3.676,0.0,35.5
6266,-495.75,26,0,0,1,16.022,0.0,100.6
6305,-499.44,39,0,0,1,4.287,0.0,34.5
6351,-499.74,46,0,0,1,3.463,0.0,32.8
6434,-495.7,83,0,0,1,6.409,0.0,135.8
6480,-498.69,46,0,0,1,4.539,0.0,53.9
6551,-499.44,71,0,0,1,2.893,0.0,53.9
6580,-497.51,29,0,0,1,8.848,0.0,67.1
6609,-498.65,29,0,0,1,6.578,0.0,44.4
6722,-496.15,113,0,0,1,6.672,0.0088,154.8
6762,-499.06,40,0,0,1,4.791,0.0,42.7
6788,-498.09,26,0,0,1,8.096,0.0,53.9
6868,-499.04,80,0,0,1,3.239,0.0,67.1
6944,-499.59,76,0,0,1,2.703,0.0,53.9
7011,-497.97,67,0,0,1,4.752,0.0,80.7
7040,-498.8,29,0,0,1,5.967,0.0,41.5
7106,-495.88,66,0,0,1,7.663,0.0,121.9
7123,-498.98,17,0,0,1,8.984,0.0,30.6
7160,-499.87,37,0,0,1,4.013,0.0,24.7
7188,-499.31,28,0,0,1,5.285,0.0,30.6
7205,-498.44,17,0,0,1,10.066,0.0,41.5
7361,-493.56,156,0,0,1,6.06,0.0,222.3
7394,-498.92,33,0,0,1,5.321,0.0,41.5
7429,-499.81,35,0,0,1,4.249,0.0,24.7
7449,-498.45,20,0,0,1,9.571,0.0,43.1
7493,-499.63,44,0,0,1,3.661,0.0,33.9
7504,-498.03,11,0,0,1,17.815,0.0,45.9
7596,-500.07,92,0,0,1,2.238,0.0,53.9
7639,-497.91,43,0,0,1,6.467,0.0,67.5
7678,-498.99,39,0,0,1,4.811,0.0,43.6
7748,-498.06,70,0,0,1,4.739,0.0,80.7
7790,-499.19,42,0,0,1,4.041,0.0,41.5
7846,-494.37,56,0,0,1,11.783,0.0179,156.2
7862,-498.41,16,0,0,1,11.136,0.0,41.5
7923,-499.61,61,0,0,1,3.154,0.0,44.3
7954,-498.79,31,0,0,1,5.937,0.0,42.9
