timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m
17,-98.75,17,0,0,1,10.471,0.0,41.5
51,-99.77,34,0,0,1,5.084,0.0,41.5
122,-100.31,71,0,0,1,4.269,0.0,72.3
161,-99.4,39,0,0,1,5.627,0.0,53.9
237,-100.92,76,0,0,1,3.392,0.0,67.1
261,-99.64,24,0,0,1,6.79,0.0,32.3
294,-95.55,33,0,0,1,17.347,0.0606,135.8
329,-99.17,35,0,0,1,6.105,0.0,53.9
355,-99.06,26,0,0,1,7.491,0.0,45.6
369,-98.28,14,0,0,1,14.462,0.0,46.6
446,-100.8,77,0,0,1,3.736,0.0,70.0
590,-100.45,144,0,0,1,4.416,0.0,149.7
634,-100.26,44,0,0,1,4.27,0.0,43.4
670,-99.88,36,0,0,1,5.053,0.0,41.5
688,-99.61,18,0,0,1,8.885,0.0,25.9
706,-99.37,18,0,0,1,8.613,0.0,30.8
764,-100.55,58,0,0,1,3.74,0.0,53.9
821,-101.49,57,0,0,1,2.922,0.0,34.9
843,-98.94,22,0,0,1,8.686,0.0,43.4
863,-98.13,20,0,0,1,11.729,0.0,56.2
925,-98.27,62,0,0,1,6.787,0.0,99.7
1003,-101.54,78,0,0,1,3.054,0.0,57.6
1044,-95.78,41,0,0,1,15.296,0.0732,149.7
1100,-99.7,56,0,0,1,4.953,0.0,67.1
1130,-97.01,30,0,0,1,12.777,0.0,87.2
1164,-99.12,34,0,0,1,6.041,0.0,53.9
1194,-97.41,30,0,0,1,10.602,0.0,80.7
1291,-98.72,97,0,0,1,6.104,0.0103,138.9
1327,-100.41,36,0,0,1,4.423,0.0,31.5
1340,-99.83,13,0,0,1,12.044,0.0,15.5
1520,-96.28,180,0,0,1,6.223,0.0,265.6
1537,-99.66,17,0,0,1,8.657,0.0,23.9
1608,-98.01,71,0,0,1,6.905,0.0,114.0
1735,-97.5,127,0,0,1,6.18,0.0,185.0
1750,-99.59,15,0,0,1,11.03,0.0,22.6
1788,-97.74,38,0,0,1,12.49,0.0789,110.2
1859,-101.32,71,0,0,1,3.084,0.0,53.9
1896,-100.94,37,0,0,1,3.888,0.0,22.5
1947,-101.25,51,0,0,1,3.238,0.0,32.5
1963,-99.26,16,0,0,1,9.353,0.0,30.6
1984,-99.5,21,0,0,1,7.401,0.0,31.7
2027,-95.14,43,0,0,1,13.651,0.0,135.8
2063,-100.35,36,0,0,1,4.434,0.0,32.6
2148,-101.18,85,0,0,1,3.46,0.0,71.8
2249,-100.16,101,0,0,1,4.378,0.0,108.1
2281,-98.28,32,0,0,1,7.856,0.0,67.1
2323,-99.6,42,0,0,1,4.914,0.0,53.9
2381,-101.5,58,0,0,1,2.883,0.0,35.8
2427,-100.9,46,0,0,1,3.499,0.0,33.7
2498,-92.01,71,0,0,1,14.39,0.0282,242.4
2571,-100.74,73,0,0,1,3.455,0.0,67.1
2652,-97.39,81,0,0,1,7.12,0.0,136.5
2697,-100.43,45,0,0,1,3.919,0.0,41.5
2717,-99.01,20,0,0,1,12.573,0.1,58.2
2737,-99.5,20,0,0,1,7.665,0.0,30.6
2766,-100.04,29,0,0,1,5.133,0.0,30.6
2839,-99.25,73,0,0,1,5.016,0.0,94.4
2889,-94.64,50,0,0,1,12.969,0.0,152.8
2903,-98.86,14,0,0,1,12.026,0.0,35.9
3053,-100.79,150,0,0,1,4.339,0.0,149.7
3072,-97.49,19,0,0,1,14.038,0.0,67.1
3101,-98.82,29,0,0,1,7.162,0.0,53.9
3122,-100.03,21,0,0,1,6.883,0.0,21.5
3153,-99.47,31,0,0,1,6.294,0.0,43.5
3191,-99.89,38,0,0,1,5.104,0.0,43.6
3243,-100.18,52,0,0,1,4.21,0.0,53.9
3326,-102.54,83,0,0,1,2.304,0.0,44.6
3388,-100.79,62,0,0,1,3.442,0.0,53.9
3439,-101.74,51,0,0,1,2.876,0.0,23.1
3471,-99.65,32,0,0,1,5.375,0.0,41.5
3537,-99.58,66,0,0,1,4.722,0.0,80.7
3615,-99.55,78,0,0,1,4.729,0.0,94.4
3673,-98.02,58,0,0,1,7.217,0.0,99.8
3726,-100.24,53,0,0,1,4.234,0.0,53.9
3740,-98.32,14,0,0,1,14.528,0.0,46.0
3832,-101.14,92,0,0,1,5.161,0.0217,97.0
3875,-100.88,43,0,0,1,3.576,0.0,30.6
3917,-100.79,42,0,0,1,3.955,0.0,30.8
3961,-100.72,44,0,0,1,3.738,0.0,34.8
3999,-100.56,38,0,0,1,4.008,0.0,31.0
4037,-98.62,38,0,0,1,7.181,0.0,67.1
4080,-100.25,43,0,0,1,4.297,0.0,42.5
4107,-100.32,27,0,0,1,5.64,0.0,22.5
4134,-97.82,27,0,0,1,10.808,0.0,69.5
4199,-100.66,65,0,0,1,3.769,0.0,59.3
4273,-101.31,74,0,0,1,3.202,0.0,57.3
4387,-100.18,114,0,0,1,4.454,0.0,121.9
4402,-98.4,15,0,0,1,13.403,0.0,45.5
4518,-99.56,116,0,0,1,4.708,0.0,135.8
4627,-98.21,109,0,0,1,5.821,0.0,152.4
4644,-98.68,17,0,0,1,11.028,0.0,42.6
4753,-100.47,109,0,0,1,4.3,0.0,111.1
4798,-101.0,45,0,0,1,3.329,0.0,30.6
4817,-97.42,19,0,0,1,17.435,0.0,67.1
4840,-98.46,23,0,0,1,8.96,0.0,53.9
4874,-99.78,34,0,0,1,4.993,0.0,41.5
5016,-98.73,142,0,0,1,5.356,0.0,178.8
5037,-99.31,21,0,0,1,7.95,0.0,35.2
5089,-99.48,52,0,0,1,4.893,0.0,67.1
5129,-98.69,40,0,0,1,7.127,0.0,67.9
5159,-99.24,30,0,0,1,6.647,0.0,46.8
5206,-97.65,47,0,0,1,8.592,0.0,94.4
5293,-90.54,87,0,0,1,12.808,0.0,268.8
5323,-99.53,30,0,0,1,5.874,0.0,41.5
5356,-99.65,33,0,0,1,5.682,0.0,42.4
5390,-98.0,34,0,0,1,9.085,0.0,73.9
5423,-100.01,33,0,0,1,5.081,0.0,35.8
5484,-99.28,61,0,0,1,5.047,0.0,80.7
5531,-100.28,47,0,0,1,4.247,0.0,46.3
5556,-99.52,25,0,0,1,6.682,0.0,35.9
5574,-100.09,18,0,0,1,8.136,0.0,16.5
5604,-99.06,30,0,0,1,8.219,0.0333,59.3
5628,-99.08,24,0,0,1,7.732,0.0,43.1
5658,-98.87,30,0,0,1,7.183,0.0,53.9
5688,-100.04,30,0,0,1,5.189,0.0,31.8
5736,-100.57,48,0,0,1,3.844,0.0,42.1
5799,-100.47,63,0,0,1,4.174,0.0,60.4
5886,-97.05,87,0,0,1,7.121,0.0,149.7
6087,-103.87,201,0,0,1,3.149,0.0,149.7
6113,-99.76,26,0,0,1,6.07,0.0,32.5
6159,-99.83,46,0,0,1,4.607,0.0,53.9
6198,-100.6,39,0,0,1,3.97,0.0,31.4
6240,-92.82,42,0,0,1,19.515,0.0476,195.7
6269,-99.84,29,0,0,1,5.615,0.0,34.5
6302,-100.56,33,0,0,1,4.531,0.0,25.0
6328,-96.91,26,0,0,1,14.885,0.0385,94.4
6364,-99.22,36,0,0,1,6.055,0.0,53.9
6383,-98.21,19,0,0,1,11.132,0.0,53.9
6422,-98.7,39,0,0,1,6.62,0.0,67.1
6460,-100.85,38,0,0,1,4.085,0.0,25.1
6488,-100.22,28,0,0,1,5.606,0.0,25.8
6542,-100.31,54,0,0,1,4.005,0.0,53.9
6561,-98.86,19,0,0,1,9.562,0.0,41.5
6598,-99.25,37,0,0,1,6.117,0.0,54.3
6630,-99.65,32,0,0,1,5.365,0.0,41.5
6662,-99.65,32,0,0,1,5.365,0.0,41.5
6733,-99.86,71,0,0,1,4.633,0.0,80.7
6762,-98.01,29,0,0,1,9.777,0.0,68.4
6823,-101.83,61,0,0,1,2.643,0.0,33.0
6851,-99.99,28,0,0,1,5.231,0.0,30.6
6964,-96.3,113,0,0,1,6.687,0.0,192.9
7015,-94.87,51,0,0,1,12.414,0.0,149.7
7061,-100.49,46,0,0,1,3.753,0.0,41.5
7083,-97.67,22,0,0,1,12.018,0.0,67.1
7128,-99.06,45,0,0,1,5.638,0.0,67.1
7164,-99.9,36,0,0,1,4.739,0.0,41.5
7208,-100.36,44,0,0,1,4.152,0.0,41.5
7283,-97.09,75,0,0,1,7.492,0.0,135.8
7310,-96.13,27,0,0,1,16.432,0.0,100.0
7339,-99.86,29,0,0,1,5.661,0.0,34.0
7374,-100.21,35,0,0,1,4.688,0.0,34.3
7521,-99.7,147,0,0,1,4.762,0.0,166.8
7640,-96.5,119,0,0,1,6.922,0.0,194.5
7656,-98.03,16,0,0,1,13.163,0.0,53.9
7682,-99.72,26,0,0,1,6.317,0.0,33.1
7705,-99.96,23,0,0,1,6.489,0.0,25.0
7731,-99.28,26,0,0,1,7.15,0.0,41.5
7760,-100.84,29,0,0,1,4.869,0.0,14.9
7795,-99.01,35,0,0,1,7.869,0.0,55.6
7823,-96.54,28,0,0,1,13.4,0.0,94.4
7854,-98.58,31,0,0,1,8.112,0.0,59.9
7903,-98.22,49,0,0,1,14.386,0.1837,168.8
7940,-99.1,37,0,0,1,6.46,0.0,57.1
8025,-100.37,85,0,0,1,4.455,0.0,86.2
8045,-98.75,20,0,0,1,9.623,0.0,44.7
8079,-98.4,34,0,0,1,7.391,0.0,67.1
8120,-99.54,41,0,0,1,5.034,0.0,53.9
8202,-96.52,82,0,0,1,10.116,0.061,199.5
8256,-100.98,54,0,0,1,3.084,0.0,41.5
8354,-100.0,98,0,0,1,4.367,0.0,108.1
8386,-99.65,32,0,0,1,5.376,0.0,41.5
8407,-98.91,21,0,0,1,9.006,0.0,42.7
8528,-95.08,121,0,0,1,7.76,0.0,222.6
8563,-98.8,35,0,0,1,7.168,0.0,60.5
8594,-100.04,31,0,0,1,5.092,0.0,32.9
8630,-99.23,36,0,0,1,5.96,0.0,53.9
8684,-100.31,54,0,0,1,3.92,0.0,53.9
8702,-100.08,18,0,0,1,7.975,0.0,16.8
8737,-97.6,35,0,0,1,10.133,0.0,82.1
8802,-97.61,65,0,0,1,8.328,0.0,112.9
8830,-96.29,28,0,0,1,15.554,0.0357,108.1
8884,-97.34,54,0,0,1,8.165,0.0,108.1
8921,-99.83,37,0,0,1,5.203,0.0,43.4
8966,-101.0,45,0,0,1,3.364,0.0,30.6
9031,-100.25,65,0,0,1,4.109,0.0,67.1
9045,-97.19,14,0,0,1,18.731,0.0,67.1
9068,-99.42,23,0,0,1,7.27,0.0,35.4
9084,-99.69,16,0,0,1,9.05,0.0,22.2
9108,-99.66,24,0,0,1,6.501,0.0,32.2
9156,-100.59,48,0,0,1,3.805,0.0,41.8
9194,-100.01,38,0,0,1,4.619,0.0,41.5
9231,-99.67,37,0,0,1,5.367,0.0,46.5
