timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m
20,-97.63,20,0,0,1,12.063,0.0,56.7
72,-95.73,52,0,0,1,9.248,0.0,111.3
135,-97.68,63,0,0,1,4.891,0.0,80.7
171,-99.8,36,0,0,1,4.45,0.0,23.9
235,-98.41,64,0,0,1,4.388,0.0,67.1
281,-99.2,46,0,0,1,3.946,0.0,41.5
301,-98.75,20,0,0,1,8.418,0.0,35.2
341,-99.51,40,0,0,1,3.881,0.0,32.0
379,-97.43,38,0,0,1,8.036,0.0,70.9
478,-96.59,99,0,0,1,5.093,0.0,121.9
546,-99.23,68,0,0,1,3.128,0.0,53.9
570,-96.25,24,0,0,1,14.862,0.0,85.4
612,-99.09,42,0,0,1,4.098,0.0,41.5
676,-96.99,64,0,0,1,5.861,0.0,94.4
727,-98.0,51,0,0,1,6.206,0.0,67.1
761,-98.85,34,0,0,1,5.102,0.0,41.5
824,-96.22,63,0,0,1,7.472,0.0,108.1
847,-98.82,23,0,0,1,7.338,0.0,35.6
877,-95.75,30,0,0,1,14.389,0.0333,108.1
931,-98.81,54,0,0,1,3.924,0.0,53.9
973,-99.05,42,0,0,1,4.394,0.0,42.2
1024,-99.64,51,0,0,1,3.423,0.0,35.8
1061,-96.18,37,0,0,1,10.261,0.0,94.4
1186,-94.84,125,0,0,1,5.71,0.0,170.2
1218,-98.08,32,0,0,1,7.184,0.0,55.0
1245,-99.17,27,0,0,1,5.733,0.0,31.2
1270,-99.1,25,0,0,1,6.209,0.0,31.3
1288,-99.59,18,0,0,1,8.684,0.0,17.2
1320,-97.46,32,0,0,1,8.047,0.0,67.1
1333,-99.52,13,0,0,1,11.447,0.0,15.7
1377,-97.82,44,0,0,1,5.873,0.0,67.1
1398,-96.39,21,0,0,1,16.93,0.0,80.8
1414,-99.32,16,0,0,1,9.405,0.0,21.6
1463,-92.16,49,0,0,1,14.618,0.0,178.2
1480,-98.34,17,0,0,1,10.628,0.0,41.5
1505,-98.51,25,0,0,1,7.43,0.0,42.7
1540,-99.43,35,0,0,1,4.348,0.0,30.6
1557,-98.62,17,0,0,1,10.559,0.0,35.9
1627,-98.97,70,0,0,1,3.583,0.0,59.8
1650,-98.98,23,0,0,1,6.838,0.0,32.5
1671,-97.53,21,0,0,1,11.805,0.0,59.2
1700,-97.36,29,0,0,1,9.498,0.0,67.1
1862,-85.41,162,0,0,1,9.43,0.0,372.1
1884,-99.33,22,0,0,1,7.182,0.0,24.9
1927,-97.07,43,0,0,1,7.559,0.0,80.7
2072,-91.68,145,0,0,1,7.963,0.0276,280.5
2113,-96.3,41,0,0,1,9.15,0.0,94.4
2147,-101.28,34,0,0,1,5.587,0.1471,42.7
2219,-94.96,72,0,0,1,7.789,0.0,137.7
2244,-98.58,25,0,0,1,7.081,0.0,41.5
2261,-97.7,17,0,0,1,12.023,0.0,53.9
2340,-98.15,79,0,0,1,4.195,0.0,80.7
2370,-99.27,30,0,0,1,5.087,0.0,30.9
2392,-96.96,22,0,0,1,13.444,0.0,70.8
2433,-97.71,41,0,0,1,6.839,0.0,67.3
2516,-96.85,83,0,0,1,5.079,0.0,108.1
2527,-98.04,11,0,0,1,17.335,0.0,43.6
2552,-97.73,25,0,0,1,9.804,0.0,57.7
2577,-99.13,25,0,0,1,6.042,0.0,30.8
2613,-99.35,36,0,0,1,4.422,0.0,32.8
2637,-98.98,24,0,0,1,6.926,0.0,33.0
2660,-99.45,23,0,0,1,6.334,0.0,23.2
2717,-98.9,57,0,0,1,3.698,0.0,53.9
2764,-99.57,47,0,0,1,3.508,0.0,35.0
2817,-95.79,53,0,0,1,8.951,0.0,110.7
2856,-97.66,39,0,0,1,7.17,0.0,67.1
2907,-98.03,51,0,0,1,4.943,0.0,67.1
2945,-97.64,38,0,0,1,6.72,0.0,67.1
2982,-98.3,37,0,0,1,5.532,0.0,53.9
3017,-98.24,35,0,0,1,5.885,0.0,53.9
3048,-97.43,31,0,0,1,8.232,0.0,67.1
3173,-95.17,125,0,0,1,5.624,0.0,163.8
3190,-99.76,17,0,0,1,8.063,0.0,13.5
3328,-96.06,138,0,0,1,4.694,0.0,154.5
3345,-97.01,17,0,0,1,14.91,0.0,67.1
3373,-97.33,28,0,0,1,9.816,0.0,67.1
3417,-97.59,44,0,0,1,6.749,0.0,71.3
3501,-98.23,84,0,0,1,4.059,0.0,82.0
3568,-98.96,67,0,0,1,3.609,0.0,58.4
3600,-99.07,32,0,0,1,5.386,0.0,35.9
3674,-100.53,74,0,0,1,2.138,0.0,32.0
3751,-97.97,77,0,0,1,4.452,0.0,82.9
3786,-99.39,35,0,0,1,4.529,0.0,31.4
3848,-99.05,62,0,0,1,3.278,0.0,53.9
3919,-91.9,71,0,0,1,11.791,0.0,195.4
3937,-98.08,18,0,0,1,11.147,0.0,47.0
3964,-96.6,27,0,0,1,11.357,0.0,80.7
4004,-98.38,40,0,0,1,5.471,0.0,53.9
4024,-98.43,20,0,0,1,8.502,0.0,41.5
4108,-96.07,84,0,0,1,6.245,0.0,123.3
4165,-96.69,57,0,0,1,7.268,0.0,95.9
4222,-96.65,57,0,0,1,7.597,0.0,96.4
4241,-98.4,19,0,0,1,9.116,0.0,41.5
4280,-98.35,39,0,0,1,5.649,0.0,53.9
4365,-100.08,85,0,0,1,2.348,0.0,47.1
4395,-97.4,30,0,0,1,8.461,0.0,67.1
4411,-98.84,16,0,0,1,10.537,0.0,30.8
4455,-99.46,44,0,0,1,3.786,0.0,35.4
