timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m
17,-99.35,17,0,0,1,8.788,0.0,21.5
45,-98.02,28,0,0,1,8.03,0.0,53.9
63,-97.72,18,0,0,1,12.155,0.0,53.9
75,-98.19,12,0,0,1,13.967,0.0,41.5
99,-98.55,24,0,0,1,7.127,0.0,41.5
190,-94.15,91,0,0,1,7.698,0.0,163.8
211,-97.82,21,0,0,1,9.703,0.0,53.9
265,-99.78,54,0,0,1,3.105,0.0,34.9
490,-85.54,225,0,0,1,7.618,0.0,405.2
535,-98.89,45,0,0,1,4.455,0.0,47.0
576,-99.06,41,0,0,1,4.303,0.0,41.5
616,-99.03,40,0,0,1,4.451,0.0,41.5
662,-99.04,46,0,0,1,4.174,0.0,44.6
684,-98.86,22,0,0,1,7.479,0.0,34.2
763,-95.54,79,0,0,1,7.739,0.0253,149.7
787,-97.55,24,0,0,1,19.469,0.2083,108.1
821,-98.17,34,0,0,1,6.861,0.0,54.4
909,-95.53,88,0,0,1,6.511,0.0,135.8
924,-97.63,15,0,0,1,14.901,0.0,53.9
955,-99.16,31,0,0,1,5.206,0.0,33.7
1069,-97.77,114,0,0,1,3.807,0.0,108.1
1254,-99.44,185,0,0,1,3.122,0.0108,135.8
1268,-99.5,14,0,0,1,10.77,0.0,16.7
1306,-98.33,38,0,0,1,5.575,0.0,53.9
1465,-89.05,159,0,0,1,8.002,0.0063,310.3
1510,-98.54,45,0,0,1,4.656,0.0,53.9
1523,-99.22,13,0,0,1,11.056,0.0,21.8
1558,-99.43,35,0,0,1,4.298,0.0,30.6
1592,-98.85,34,0,0,1,4.911,0.0,41.5
1621,-95.71,29,0,0,1,14.365,0.0,98.6
1651,-98.09,30,0,0,1,6.921,0.0,53.9
1673,-99.05,22,0,0,1,6.793,0.0,30.6
1719,-98.91,46,0,0,1,4.378,0.0,47.2
1737,-98.92,18,0,0,1,8.494,0.0,30.6
1772,-98.92,35,0,0,1,11.744,0.1714,98.1
1821,-99.13,49,0,0,1,3.906,0.0,44.7
1841,-97.79,20,0,0,1,10.85,0.0,53.9
1963,-90.9,122,0,0,1,8.624,0.0082,253.5
1999,-99.44,36,0,0,1,4.241,0.0,31.1
2018,-99.24,19,0,0,1,8.082,0.0,24.9
2093,-95.8,75,0,0,1,7.047,0.0,123.1
2130,-98.72,37,0,0,1,5.312,0.0,45.7
2149,-98.8,19,0,0,1,8.769,0.0,33.5
2192,-97.07,43,0,0,1,7.545,0.0,80.7
2311,-88.92,119,0,0,1,9.437,0.0,280.5
2347,-98.21,36,0,0,1,6.581,0.0,54.7
2362,-98.27,15,0,0,1,12.134,0.0,41.5
2401,-99.0,39,0,0,1,4.493,0.0,41.5
2426,-98.48,25,0,0,1,7.46,0.0,43.2
2462,-99.73,36,0,0,1,4.163,0.0,25.3
2500,-98.87,38,0,0,1,5.101,0.0,43.2
2583,-96.11,83,0,0,1,6.085,0.0,121.9
2611,-100.09,28,0,0,1,4.772,0.0,13.5
2634,-99.97,23,0,0,1,7.054,0.087,32.5
2683,-99.15,49,0,0,1,4.538,0.0204,53.9
2797,-94.1,114,0,0,1,6.462,0.0,178.2
2863,-97.77,66,0,0,1,4.778,0.0,80.7
2898,-98.75,35,0,0,1,5.388,0.0,44.0
2924,-99.39,26,0,0,1,6.171,0.0,25.9
2965,-97.61,41,0,0,1,7.685,0.0,68.9
